Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Tapin,0,1.53,0.002,0.036,0.004,0.067,-
Hulu Sungai Selatan,0,1.64,0.001,0.028,0,0.039,0
Hulu Sungai Tengah,0,1.651,0.004,0.021,0.001,0.035,-
Hulu Sungai Utara,0,1.802,0.005,0.04,0.002,0.065,-
Tabalong,0,1.534,0.003,0.022,0.001,0.088,0.001
Tanah Bumbu,0,1.468,0.003,0.023,0.004,0.06,0
Balangan,0,1.578,0.007,0.024,0.004,0.089,0.002
Kota Banjarmasin,0,1.419,0.002,0.017,0.003,0.034,0.003
Kota Banjar Baru,0,1.24,0.003,0.052,0.003,0.07,0.01
Paser,0,1.45,0.009,0.017,0.002,0.061,-
Kutai Barat,0,1.442,0.003,0.023,0.001,0.027,0
Kutai Kartanegara,0,1.439,0.006,0.025,0.001,0.049,0
Kutai Timur,0,1.413,0.002,0.065,0.002,0.067,0.002
Berau,0,1.371,0.013,0.025,0.01,0.085,0.004
Penajam Paser Utara,0,1.436,0.004,0.01,0.002,0.062,-
Mahakam Ulu,0,1.594,0.015,0.017,0.001,0.037,-
Kota Balikpapan,0,1.237,0.002,0.034,0.009,0.071,0.001
Kota Samarinda,0,1.237,0.001,0.037,0.002,0.07,0.002
Kota Bontang,0,1.252,0.004,0.069,0.003,0.063,0.002
Malinau,0,1.592,0.013,0.017,0.002,0.096,0.001
Bulungan,0,1.555,0.005,0.023,0.005,0.059,0.002
Tana Tidung,0,1.446,0.009,0.027,0,0.067,0.001
Nunukan,0,1.525,0.013,0.063,0.001,0.109,0
Kota Tarakan,0,1.299,0.005,0.017,0.002,0.065,0
Bolaang Mongondow,0,1.852,0.001,0.081,0.027,0.048,0.003
Minahasa,0,1.737,0.002,0.016,0.003,0.065,0.001
Kepulauan Sangihe,0,1.604,-,0.006,-,0.038,-
Kepulauan Talaud,0,1.645,0.001,0.004,0.003,0.089,-
Minahasa Selatan,0,1.949,0.002,0.024,0.012,0.06,0.001
Minahasa Utara,0,1.756,0.016,0.019,0.005,0.038,0.002
Bolaang Mongondow Utara,0,1.914,0.006,0.025,0.005,0.045,-
Siau Tagulandang Biaro,0,1.79,0.009,-,-,0.02,0
Minahasa Tenggara,0,1.911,0.006,0.018,0.018,0.052,-
Bolaang Mongondow Selatan,0,1.862,0.001,0.052,0.121,0.032,-
Bolaang Mongondow Timur,0,2.043,0.011,0.049,0.016,0.066,-
Kota Manado,0,1.731,0.004,0.011,0.007,0.026,0.001
Kota Bitung,0,1.798,0.003,0.012,0.01,0.034,-
Kota Tomohon,0,1.912,0.002,0.023,0.003,0.061,0
Kota Kotamobagu,0,1.752,0.008,0.049,0.025,0.032,0.006
Banggai Kepulauan,0,1.902,0.001,0.011,0.005,0.026,0.003
Banggai,0,1.799,0.001,0.056,0.012,0.033,0.003
Morowali,0,1.764,0.002,0.013,0.007,0.043,-
Poso,0,2.001,0.008,0.048,0.005,0.051,0
Donggala,0,2.069,0.006,0.059,0.052,0.073,0.002
Toli-Toli,0,1.651,0.006,0.033,0.001,0.054,-
Buol,0,1.597,0.005,0.111,0.012,0.034,0
Parigi Moutong,0,1.815,0.006,0.051,0.02,0.043,0.001
Tojo Una-Una,0,1.588,0.005,0.037,0.013,0.034,0
Sigi,0,2.036,0.012,0.044,0.022,0.05,0.002
Banggai Laut,0,2.183,0.005,0.01,-,0.008,-
Morowali Utara,0,2.01,0.001,0.027,0.018,0.044,0.001
Kota Palu,0,1.599,0.01,0.052,0.003,0.036,-
Kepulauan Selayar,0,1.828,0.008,0.053,0.093,0.129,0
Bulukumba,0,2.064,0.045,0.099,0.066,0.139,0.001
Bantaeng,0,1.714,0.02,0.05,0.089,0.1,0.002
Jeneponto,0,1.994,0.022,0.04,0.023,0.134,0.001
Takalar,0,1.855,0.007,0.036,0.006,0.091,-
Gowa,0,1.754,0.006,0.054,0.007,0.091,0
Sinjai,0,1.725,0.012,0.044,0.021,0.097,0.001
Maros,0,1.799,0.004,0.089,0.006,0.113,0.003
Pangkajene dan Kepulauan,0,2.465,0.011,0.043,0.005,0.154,0.001
Barru,0,1.961,0.022,0.042,0.004,0.106,0.001
