Kabupaten/Kota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Tahun
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,,2022
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya,2022
Pemalang,0,1.43,0.005,0.013,0.011,0.042,0.004,2022
Tegal,0,1.369,0,0.007,0.001,0.035,0.002,2022
Brebes,0,1.483,0.001,0.009,-,0.039,0.001,2022
Kota Magelang,0,1.12,0.001,0.027,-,0.041,0.001,2022
Kota Surakarta,0,1.201,0.001,0.015,0.005,0.041,0.001,2022
Kota Salatiga,0,1.104,0.007,0.042,0.004,0.052,0.002,2022
Kota Semarang,0,1.134,0.007,0.018,0.001,0.045,0.001,2022
Kota Pekalongan,0,1.289,0.002,0.017,0.002,0.027,0.002,2022
Kota Tegal,0,1.119,0.008,0.015,0.001,0.029,0,2022
Kulon Progo,0,1.303,0.002,0.02,0.001,0.073,0.001,2022
Bantul,0,1.222,0.002,0.014,0.002,0.05,0.001,2022
Gunung Kidul,0,1.491,0.005,0.004,0.01,0.06,0.005,2022
Sleman,0,1.218,0.003,0.05,0.004,0.066,0.001,2022
Kota Yogyakarta,0,1.05,0.003,0.029,0.003,0.032,0.002,2022
Pacitan,0,1.505,0.019,0.009,0.002,0.044,0,2022
Ponorogo,0,1.426,0.007,0.017,0.008,0.054,0.008,2022
Trenggalek,0,1.511,0.01,0.014,0.002,0.019,0.009,2022
Tulungagung,0,1.393,0.008,0.024,0.007,0.032,0.003,2022
Blitar,0,1.275,0.004,0.032,0.012,0.024,0.006,2022
Kediri,0,1.429,0.002,0.047,0.009,0.034,0.004,2022
Malang,0,1.389,0.004,0.045,0.042,0.036,0.002,2022
Lumajang,0,1.656,0.006,0.117,0.111,0.057,0.001,2022
Jember,0,1.668,0.005,0.092,0.055,0.056,0.003,2022
Banyuwangi,0,1.57,0.005,0.079,0.019,0.024,0.001,2022
Bondowoso,0,1.559,0.009,0.095,0.043,0.043,0.001,2022
Situbondo,0,1.673,0.003,0.069,0.061,0.029,0,2022
Probolinggo,0,1.671,0.005,0.075,0.109,0.027,0.001,2022
Pasuruan,0,1.541,0.011,0.072,0.052,0.045,0.001,2022
Sidoarjo,0,1.31,0.003,0.061,0.005,0.037,0,2022
Mojokerto,0,1.461,0.005,0.104,0.023,0.043,0.003,2022
Jombang,0,1.346,0.005,0.071,0.009,0.044,0.005,2022
Nganjuk,0,1.499,0.001,0.053,0.003,0.025,0.003,2022
Madiun,0,1.411,0.007,0.04,0.001,0.054,0.001,2022
Magetan,0,1.356,0.002,0.033,0.003,0.058,0.001,2022
Ngawi,0,1.537,0.005,0.017,0.003,0.053,0,2022
Bojonegoro,0,1.623,0.003,0.054,0.012,0.063,0.028,2022
Tuban,0,1.647,0.033,0.069,0.011,0.053,0.008,2022
Lamongan,0,1.583,0.018,0.053,0.012,0.052,0.001,2022
Gresik,0,1.443,0.009,0.082,0.012,0.049,0.005,2022
Bangkalan,0,1.679,0.003,0.009,0.12,0.024,0.001,2022
Sampang,0,1.909,0.001,0.009,0.141,0.008,0.001,2022
Pamekasan,0,1.358,0.005,0.016,0.2,0.024,0,2022
Sumenep,0,1.576,0.013,0.019,0.315,0.069,0.001,2022
Kota Kediri,0,1.223,0.004,0.047,0.002,0.019,0.002,2022
Kota Blitar,0,1.146,0.004,0.038,0.004,0.02,0.001,2022
Kota Malang,0,1.217,0.003,0.052,0.009,0.057,0.002,2022
Kota Probolinggo,0,1.493,0.001,0.074,0.039,0.023,0.008,2022
Kota Pasuruan,0,1.309,0.002,0.047,0.001,0.024,0.001,2022
Kota Mojokerto,0,1.224,-,0.09,0.006,0.027,0.002,2022
Kota Madiun,0,1.174,0.002,0.049,0.005,0.054,0.004,2022
Kota Surabaya,0,1.188,0.002,0.062,0.011,0.037,0.008,2022
Kota Batu,0,1.172,0.001,0.071,0.009,0.053,0.001,2022
Pandeglang,0,2.21,0.003,0.011,0,0.062,0,2022
Lebak,0,1.982,0.026,0.021,0.004,0.112,0.001,2022
Tangerang,0,1.563,0.005,0.042,0.001,0.073,0,2022
Serang,0,1.615,0.018,0.016,-,0.062,-,2022
Kota Tangerang,0,1.45,0.003,0.036,0.003,0.069,0.001,2022
Kota Cilegon,0,1.338,0.006,0.061,0.006,0.057,0,2022
Kota Serang,0,1.566,0.004,0.017,0.003,0.046,0.001,2022
Kota Tangerang Selatan,0,1.295,0.004,0.027,0.002,0.059,0.001,2022
Jembrana,0,1.848,0.003,0.057,0.012,0.007,0,2022
Tabanan,0,1.851,0.005,0.032,0.001,0.014,0.001,2022
Badung,0,1.734,0.001,0.044,0.002,0.007,0,2022
Gianyar,0,1.859,0.004,0.02,0,0.004,0,2022
Klungkung,0,2.015,0.006,0.106,-,0.005,-,2022
Bangli,0,1.951,0.012,0.029,0.001,0.01,0.001,2022
Karangasem,0,2.122,0.012,0.023,0.006,0.004,0.001,2022
Buleleng,0,2.058,0.005,0.082,0.003,0.01,0,2022
Kota Denpasar,0,1.618,0.001,0.066,0.005,0.011,0.002,2022
Lombok Barat,0,1.939,0.005,0.115,0.005,0.022,0,2022
Lombok Tengah,0,1.897,0.01,0.103,0.012,0.019,0.001,2022
Lombok Timur,0,1.894,0.012,0.128,0.011,0.025,0.001,2022
Sumbawa,0,1.945,0.009,0.081,0.002,0.043,0.001,2022
Dompu,0,2.121,0.004,0.066,0.005,0.006,-,2022
Bima,0,1.809,0.015,0.11,0.005,0.009,0.001,2022
Sumbawa Barat,0,1.924,0.014,0.096,0.009,0.029,0,2022
Lombok Utara,0,1.941,0.016,0.129,0.002,0.019,0.001,2022
Kota Mataram,0,1.639,0.002,0.083,0.003,0.029,0.001,2022
Kota Bima,0,1.783,0.002,0.082,0.001,0.013,0.001,2022
Sumba Barat,0,1.923,-,0.015,0.237,0.003,-,2022
Sumba Timur,0,2.239,0.001,0.064,0.302,0.008,-,2022
Kupang,0,2.029,0.001,0.098,0.187,0.031,-,2022
Timor Tengah Selatan,0,1.527,0,0.241,0.425,0.054,0,2022
Timor Tengah Utara,0,2.023,0.001,0.119,0.273,0.012,-,2022
Belu,0,1.785,0.004,0.092,0.298,0.011,0.006,2022
Alor,0,1.661,0,0.065,0.202,0.046,0.001,2022
Lembata,0,1.636,0.009,0.041,0.254,0.046,0.021,2022
