Kabupaten/Kota,,,,,,,
,Rata-rata Konsumsi Perkapita Seminggu Menurut Kelompok Padi-Padian Per Kabupaten/kota (Satuan Komoditas),,,,,,
,PADI-PADIAN,"Beras (beras lokal, kualitas unggul, impor)",Beras ketan,Jagung basah dengan kulit,Jagung pipilan/beras jagung/jagung titil,Tepung terigu,Padi-padian lainnya
Lombok Timur,0,2.149,0.013,0.137,0.007,0.027,0
Sumbawa,0,1.835,0.011,0.111,0.003,0.043,0
Dompu,0,1.916,0.003,0.075,0.005,0.007,0
Bima,0,1.896,0.01,0.116,0.003,0.009,0.001
Sumbawa Barat,0,1.976,0.006,0.082,0.01,0.024,0.002
Lombok Utara,0,1.933,0.003,0.088,0.006,0.021,0.002
Kota Mataram,0,1.558,0.002,0.084,0.008,0.022,0.002
Kota Bima,0,1.683,0,0.058,0.003,0.013,0
Sumba Barat,0,1.972,-,0.018,0.216,0.005,0
Sumba Timur,0,2.207,0.002,0.09,0.239,0.008,-
Kupang,0,2.002,0.001,0.166,0.177,0.034,0
Timor Tengah Selatan,0,1.669,-,0.304,0.317,0.05,0.001
Timor Tengah Utara,0,2.027,-,0.19,0.103,0.028,-
Belu,0,2.02,0,0.072,0.109,0.007,0
Alor,0,1.483,0.002,0.189,0.184,0.06,0.002
Lembata,0,1.594,0,0.121,0.278,0.053,0.014
Flores Timur,0,2.216,0.001,0.078,0.164,0.06,0.002
Sikka,0,1.899,0.02,0.074,0.061,0.009,0.004
Ende,0,2.362,0.001,0.169,0.032,0.022,0.003
Ngada,0,1.813,0.007,0.075,0.159,0.017,0.004
Manggarai,0,2.363,0,0.024,0.084,0.017,0.001
Rote Ndao,0,1.987,0,0.074,0.006,0.024,0
Manggarai Barat,0,2.315,0.001,0.023,0.028,0.021,0.004
Sumba Tengah,0,1.815,0.003,0.054,0.418,0.003,-
Sumba Barat Daya,0,1.729,0,0.075,0.565,0.01,0
Nagekeo,0,1.859,0.001,0.083,0.154,0.016,0.001
Manggarai Timur,0,2.739,0.001,0.057,0.165,0.025,0
Sabu Raijua,0,2.336,0.003,0.185,0.016,0.009,0.002
Malaka,0,2.07,0.004,0.151,0.169,0.007,-
Kota Kupang,0,1.651,0.003,0.065,0.033,0.025,0
Sambas,0,1.622,0.007,0.017,0.001,0.054,0
Bengkayang,0,1.942,0.015,0.022,0.003,0.03,-
Landak,0,1.982,0.027,0.015,0.004,0.035,-
Mempawah,0,1.62,0.005,0.019,0.007,0.054,0.001
Sanggau,0,1.504,0.004,0.005,0.003,0.024,0
Ketapang,0,1.545,0.021,0.005,0,0.022,0
Sintang,0,1.697,0.007,0.01,-,0.023,0.001
Kapuas Hulu,0,1.759,0.028,0.031,0.001,0.071,-
Sekadau,0,1.783,0.014,0.005,-,0.042,-
Melawi,0,1.739,0.007,0.005,0.002,0.039,0
Kayong Utara,0,1.76,0.011,0.01,0.001,0.046,0.001
Kubu Raya,0,1.511,0.009,0.019,0.014,0.048,0.001
Kota Pontianak,0,1.232,0.005,0.04,0.014,0.044,0.003
Kota Singkawang,0,1.317,0.008,0.02,0.004,0.035,0.004
Kotawaringin Barat,0,1.519,0.007,0.033,0.004,0.063,0.003
Kotawaringin Timur,0,1.629,0.006,0.018,0.003,0.053,0.001
Kapuas,0,1.752,0.001,0.028,0.002,0.069,0.001
Barito Selatan,0,1.976,0.001,0.017,0.001,0.061,0
Barito Utara,0,1.561,0.005,0.029,0,0.054,-
Sukamara,0,1.508,0.002,0.005,0.002,0.04,0.004
Lamandau,0,1.577,0.006,0.034,0.002,0.085,0
Seruyan,0,1.676,0.003,0.018,0,0.059,-
Katingan,0,1.599,0.018,0.014,0,0.034,0
Pulang Pisau,0,1.82,0,0.019,0.001,0.086,-
Gunung Mas,0,1.588,0.004,0.043,0.001,0.028,-
Barito Timur,0,1.711,0.002,0.023,-,0.094,0.001
Murung Raya,0,1.721,0.004,0.024,-,0.019,0
Kota Palangka Raya,0,1.352,0.002,0.025,0.001,0.044,0
Tanah Laut,0,1.582,0,0.03,0.001,0.07,0.002
Kota Baru,0,1.446,0.004,0.028,0.004,0.08,0.001
Banjar,0,1.574,0.001,0.047,0.001,0.065,0
Barito Kuala,0,1.727,0.003,0.036,0.002,0.057,0
Tapin,0,1.638,0.002,0.036,0.001,0.053,0.002
Hulu Sungai Selatan,0,1.712,0.003,0.024,0.001,0.037,0
Hulu Sungai Tengah,0,1.714,0.003,0.078,0.001,0.051,0.001
Hulu Sungai Utara,0,1.693,0.001,0.039,0.002,0.059,0
Tabalong,0,1.45,0.004,0.012,0,0.106,0.002
Tanah Bumbu,0,1.337,0.004,0.039,0.005,0.08,0.001
Balangan,0,1.634,0.003,0.035,0.002,0.077,-
Kota Banjarmasin,0,1.432,0.001,0.029,0.001,0.026,0.001
Kota Banjar Baru,0,1.245,0.002,0.055,0.001,0.062,0.003
Paser,0,1.354,0.007,0.024,0.011,0.097,0
Kutai Barat,0,1.542,0.006,0.053,0.001,0.05,0
Kutai Kartanegara,0,1.418,0.009,0.032,0.002,0.065,0.001
Kutai Timur,0,1.502,0.008,0.019,0.002,0.065,0
Berau,0,1.378,0.008,0.029,0.002,0.062,0.002
Penajam Paser Utara,0,1.47,0.005,0.035,0.008,0.075,0
Mahakam Ulu,0,1.56,0.031,0.014,0.001,0.053,0
Kota Balikpapan,0,1.29,0.003,0.038,0.003,0.055,0.001
Kota Samarinda,0,1.201,0.004,0.04,0.004,0.066,0.001
Kota Bontang,0,1.188,0.004,0.053,0.005,0.05,0.002
Malinau,0,1.639,0.021,0.027,0.001,0.048,0.001
Bulungan,0,1.642,0.005,0.019,0.002,0.072,0.001
